code,title
50202,森林资源管护人员
50203,野生动植物保护及自然保护区人员
50204,木材采运人员
50209,其他林业生产及野生动植物保护人员
50300,畜牧业生产人员
50301,家畜饲养人员
50302,家禽饲养人员
50303,蜜蜂饲养人员
50304,实验动物饲养人员
50305,动物疫病防治人员
50306,草业生产人员
50309,其他畜牧业生产人员
50400,渔业生产人员
50401,水产养殖人员
50402,水产捕捞及有关人员
50403,水产品加工人员
50409,其他渔业生产人员
50500,水利设施管理养护人员
50501,河道、水库管养人员
50502,农田灌溉工程建设管理维护人员
50503,水土保持作业人员
50504,水文勘测作业人员
50509,其他水利设施管理养护人员
50900,其他农、林、牧、渔、水利业生产人员
50901,农林专用机械操作人员
50902,农村能源开发利用人员
60000,生产、运输设备操作人员及有关人员
60100,勘测及矿物开采人员
60101,地质勘查人员
60102,测绘人员
60103,矿物开采人员
60104,矿物处理人员
60105,钻井人员
60106,石油、天然气开采人员
60107,盐业生产人员
60109,其他勘测及矿物开采人员
60200,金属冶炼、轧制人员
60201,炼铁人员
60202,炼钢人员
60203,铁合金冶炼人员
60204,重有色金属冶炼人员
60205,轻有色金属冶炼人员
60206,稀贵金属冶炼人员
60207,半导体材料制备人员
60208,金属轧制人员
60209,铸铁管人员
60211,炭素制品生产人员
60212,硬质合金生产人员
60219,其他金属冶炼、轧制人员
60300,化工产品生产人员
60301,化工产品生产通用工艺人员
60302,石油炼制生产人员
60303,煤化工生产人员
60304,化学肥料生产人员
60305,无机化工产品生产人员
60306,基本有机化工产品生产人员
60307,合成树脂生产人员
60308,合成橡胶生产人员
60309,化学纤维生产人员
60311,合成革生产人员
60312,精细化工产品生产人员
60313,信息记录材料生产人员
60314,火药、炸药制造人员
60315,林产化工产品生产人员
60316,复合材料加工人员
60317,日用化学品生产人员
60319,其他化工产品生产人员
60400,机械制造加工人员
60401,机械冷加工人员
60402,机械热加工人员
60403,特种加工设备操作人员
60404,冷作钣金加工人员
60405,工件表面处理加工人员
60406,磨料磨具制造加工人员
60407,航天器件加工成型人员
60409,其他机械制造加工人员
60500,机电产品装配人员
60501,基础件、部件装配人员
60502,机械设备装配人员
60503,动力设备装配人员
60504,电子元件及设备装配人员
60505,电子专用设备装配调试人员
60506,仪器仪表装配人员
60507,运输车辆装配人员
60508,膜法水处理设备制造人员
60509,医疗器械设备及假肢与矫形器制作人员
60511,日用机械电器制作装配人员
60512,五金制品制作、装配人员
60513,装甲车辆装试人员
60514,枪炮制造人员
60515,弹制造人员
60516,引信加工制造人员
60517,火工品制造人员
60518,防化器材制造人员
60519,船舶制造人员
60521,航空产品装配与调试人员
60522,航空产品试验人员
60523,导弹卫星装配测试人员
60524,火箭发动机装配试验人员
60525,航天器结构强度、温度、环境试验人员
60526,靶场试验人员
60529,其他机电产品装配人员
60552,数据错误
60600,机械设备修理人员
60601,机械设备维修人员
60602,仪器仪表修理人员
60603,民用航空器维修人员
60609,其他机械设备修理人员
60700,电力设备安装、运行、检修及供电人员
60701,电力设备安装人员
60702,发电运行值班人员
60703,输电、配电、变电设备值班人员
60704,电力设备检修人员
60705,供用电人员
60706,生活、生产电力设备安装、操作、修理人员
60709,其他电力设备安装、运行、检修及供电人员
60800,电子元器件与设备制造、装配、调试及维修人员
60801,电子器件制造人员
60802,电子元件制造人员
60803,电池制造人员
60804,电子设备装配、调试人员
60805,电子产品维修人员
60809,其他电子元器件与设备制造、装配、调试及维
60809,其他电子元器件与设备制造、装配、调试及维修人员
60900,橡胶和塑料制品生产人员
60901,橡胶制品生产人员
60902,塑料制品加工人员
60903,数据错误
60909,其他橡胶和塑料制品生产人员
61000,纺织、针织、印染人员
61001,纤维预处理人员
61002,纺纱人员
61003,织造人员
61004,针织人员
61005,印染人员
61009,其他纺织、针织、印染人员
61100,裁剪、缝纫和皮革、毛皮制品加工制作人员
61101,裁剪、缝纫人员
61102,鞋帽制作人员
61103,皮革、毛皮加工人员
61104,缝纫制品在加工人员
61109,其他裁剪、缝纫和皮革、毛皮制品加工制作人
61109,其他裁剪、缝纫和皮革、毛皮制品加工制作人员
61200,粮油、食品、饮料生产加工及饲料生产加工人员
61201,粮油生产加工人员
61202,制糖和糖制品加工人员
61203,乳品、冷食品及罐头、饮料制作人员
61204,酿酒、食品添加剂及调味品制作人员
61205,粮油食品制作人员
61206,屠宰加工人员
61207,肉、蛋食品加工人员
61208,饲料生产加工人员
61209,其他粮油、食品、饮料生产加工及饲料生产加工人员
61300,烟草及其制品加工人员
61301,原烟复烤人员
61302,卷烟生产人员
61303,烟用醋酸纤维丝束滤棒制作人员
61309,其他烟草及制品加工人员
61400,药品生产人员
61401,合成药物制造人员
61402,生物技术制药（品）人员
61403,药物制剂人员
61404,中药制药人员
61409,其他药品生产人员
61500,木材加工、人造板生产、木制品制作及制浆、造纸和纸制品生产加工人员
61501,木材加工人员
61502,人造板生产人员
61503,木材制品制作人员
61504,制浆人员
61505,造纸人员
61506,纸制品制作人员
61509,其他木材加工、人造板生产、木制品制作及制浆、造纸和纸制品生产加工人员
61600,建筑材料生产加工人员
61601,水泥及水泥制品生产加工人员
61602,墙体屋面材料生产人员
61603,建筑防水密封材料生产人员
61604,建筑保温及吸音材料生产人员
61605,装饰石材生产人员
61606,非金属矿及其制品生产加工人员
61607,耐火材料生产人员
61609,其他建筑材料生产加工人员
61700,玻璃、陶瓷、搪瓷及其制品生产加工人员
61701,玻璃熔制人员
61702,玻璃纤维及其制品生产人员
61703,石英玻璃制品加工人员
61704,陶瓷制品生产人员
61705,搪瓷制品生产人员
61709,其他玻璃、陶瓷、搪瓷及其制品生产加工人员
61800,广播影视制品制作、播放及文物保护作业人员
61801,影视制品制作人员
61802,音像制品制作复制人员
